Address,City,For Type,Price,Beds,Baths,Owner/Agent,Notes
Charles Ave,West,RENT,7500,3,2,Kimini,Modern rental in West Trinidad
Clarence St,West,RENT,8500,3,2,Chaz,Spacious apartment with parking
Santa Cruz,West,RENT,7000,3,2,Meela,"Pet friendly, great view"
Gordon Court,West,SALE,1.85M,3,2,Kimini,Townhouse with modern finishes
Sky View Villas,West,SALE,2.3M,3,2,Chaz,Ocean view apartment
Maravillas,West,SALE,2.6M,4,3,Meela,Luxury villa with pool
The Greens,West,SALE,1.9M,3,2,Kimini,Golf course community
Villas at the Glen,West,SALE,2.1M,3,2,Chaz,Gated community with amenities
St Lucien Rd,Central,RENT,10000,4,3,Meela,Commercial rental space
The Pillars,Central,SALE,1.95M,3,2,Chaz,Modern home in central area
